지역,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
광주 동구,324115,서석동,2019010101,0.003,0.6,0.024,0.024,27,18,광주 동구 서남로 1
광주 동구,324115,서석동,2019010102,0.003,0.7,0.01,0.04,40,29,광주 동구 서남로 1
광주 동구,324115,서석동,2019010103,0.003,0.7,0.015,0.031,34,25,광주 동구 서남로 1
광주 동구,324115,서석동,2019010104,0.003,0.7,0.009,0.037,36,24,광주 동구 서남로 1
광주 동구,324115,서석동,2019010105,0.003,0.8,0.006,0.042,38,26,광주 동구 서남로 1
광주 동구,324115,서석동,2019010106,0.003,0.7,0.007,0.041,39,25,광주 동구 서남로 1
광주 동구,324115,서석동,2019010107,0.003,0.6,0.017,0.029,39,24,광주 동구 서남로 1
광주 동구,324115,서석동,2019010108,0.003,0.5,0.023,0.021,34,22,광주 동구 서남로 1
광주 동구,324115,서석동,2019010109,0.003,0.5,0.024,0.02,30,19,광주 동구 서남로 1
광주 동구,324115,서석동,2019010110,0.003,0.6,0.023,0.02,32,24,광주 동구 서남로 1
광주 동구,324115,서석동,2019010111,0.003,0.5,0.021,0.024,35,24,광주 동구 서남로 1
광주 동구,324115,서석동,2019010112,0.003,0.5,0.023,0.024,32,21,광주 동구 서남로 1
광주 동구,324115,서석동,2019010113,0.003,0.5,0.03,0.015,35,21,광주 동구 서남로 1
광주 동구,324115,서석동,2019010114,0.003,0.5,0.03,0.015,32,21,광주 동구 서남로 1
광주 동구,324115,서석동,2019010115,0.002,0.6,0.027,0.019,34,25,광주 동구 서남로 1
광주 동구,324115,서석동,2019010116,0.003,0.5,0.029,0.018,37,30,광주 동구 서남로 1
광주 동구,324115,서석동,2019010117,0.003,0.5,0.035,0.014,36,23,광주 동구 서남로 1
광주 동구,324115,서석동,2019010118,0.002,0.4,0.035,0.013,27,18,광주 동구 서남로 1
광주 동구,324115,서석동,2019010119,0.002,0.5,0.033,0.015,27,13,광주 동구 서남로 1
광주 동구,324115,서석동,2019010120,0.002,0.5,0.033,0.014,22,11,광주 동구 서남로 1
광주 동구,324115,서석동,2019010121,0.003,0.5,0.033,0.015,25,12,광주 동구 서남로 1
광주 동구,324115,서석동,2019010122,0.003,0.6,0.036,0.013,35,15,광주 동구 서남로 1
광주 동구,324115,서석동,2019010123,0.003,0.5,0.037,0.01,34,20,광주 동구 서남로 1
광주 동구,324115,서석동,2019010124,0.003,0.5,0.037,0.01,33,20,광주 동구 서남로 1
광주 동구,324115,서석동,2019010201,0.002,0.5,0.037,0.007,27,17,광주 동구 서남로 1
광주 동구,324115,서석동,2019010202,0.002,0.5,0.037,0.007,25,13,광주 동구 서남로 1
광주 동구,324115,서석동,2019010203,0.002,0.5,0.036,0.007,29,13,광주 동구 서남로 1
광주 동구,324115,서석동,2019010204,0.003,0.5,0.036,0.007,27,15,광주 동구 서남로 1
광주 동구,324115,서석동,2019010205,0.003,0.5,0.036,0.007,26,16,광주 동구 서남로 1
